"labelString","fact","startDate","endDate","elementId","contextId","roleId"
"投資有価証券の取得による支出","-6637000000","2018-04-01","2019-03-31","PurchaseOfInvestmentSecuritiesInvCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"投資有価証券の売却による収入","2529000000","2017-04-01","2018-03-31","ProceedsFromSalesOfInvestmentSecuritiesInvCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"投資有価証券の売却による収入","2022000000","2018-04-01","2019-03-31","ProceedsFromSalesOfInvestmentSecuritiesInvCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"投資有価証券の償還による収入","4000000","2017-04-01","2018-03-31","ProceedsFromRedemptionOfInvestmentSecuritiesInvCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"投資有価証券の償還による収入","18000000","2018-04-01","2019-03-31","ProceedsFromRedemptionOfInvestmentSecuritiesInvCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"連結の範囲の変更を伴う子会社株式の売却による収入",NA,"2017-04-01","2018-03-31","ProceedsFromSalesOfInvestmentsInSubsidiariesResultingInChangeInScopeOfConsolidationInvCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"連結の範囲の変更を伴う子会社株式の売却による収入","1888000000","2018-04-01","2019-03-31","ProceedsFromSalesOfInvestmentsInSubsidiariesResultingInChangeInScopeOfConsolidationInvCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"貸付けによる支出","-1000000","2017-04-01","2018-03-31","PaymentsOfLoansReceivableInvCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"貸付けによる支出","-1000000","2018-04-01","2019-03-31","PaymentsOfLoansReceivableInvCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"貸付金の回収による収入","4000000","2017-04-01","2018-03-31","CollectionOfLoansReceivableInvCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"貸付金の回収による収入","4000000","2018-04-01","2019-03-31","CollectionOfLoansReceivableInvCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"その他","2000000","2017-04-01","2018-03-31","OtherNetInvCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"その他","-18000000","2018-04-01","2019-03-31","OtherNetInvCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"投資活動によるキャッシュ・フロー","-364000000","2017-04-01","2018-03-31","NetCashProvidedByUsedInInvestmentActivities","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"投資活動によるキャッシュ・フロー","-3080000000","2018-04-01","2019-03-31","NetCashProvidedByUsedInInvestmentActivities","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"短期借入金の純増減額（△は減少）","-500000000","2017-04-01","2018-03-31","NetIncreaseDecreaseInShortTermLoansPayableFinCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
