"labelString","fact","startDate","endDate","elementId","contextId","roleId"
"土地","361430000",NA,"2019-03-31","Land","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"リース資産","5213000",NA,"2018-03-31","LeaseAssetsPPE","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"リース資産","5213000",NA,"2019-03-31","LeaseAssetsPPE","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"減価償却累計額","-5213000",NA,"2018-03-31","AccumulatedDepreciationLeaseAssetsPPE","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"減価償却累計額","-5213000",NA,"2019-03-31","AccumulatedDepreciationLeaseAssetsPPE","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"リース資産（純額）","0",NA,"2018-03-31","LeaseAssetsNetPPE","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"リース資産（純額）","0",NA,"2019-03-31","LeaseAssetsNetPPE","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"有形固定資産","472871000",NA,"2018-03-31","PropertyPlantAndEquipment","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"有形固定資産","450871000",NA,"2019-03-31","PropertyPlantAndEquipment","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"電話加入権","0",NA,"2018-03-31","TelephoneSubscriptionRight","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"電話加入権","0",NA,"2019-03-31","TelephoneSubscriptionRight","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"ソフトウエア","0",NA,"2018-03-31","Software","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"ソフトウエア","0",NA,"2019-03-31","Software","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"リース資産","0",NA,"2018-03-31","LeaseAssetsIA","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"リース資産","0",NA,"2019-03-31","LeaseAssetsIA","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"無形固定資産","0",NA,"2018-03-31","IntangibleAssets","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"無形固定資産","0",NA,"2019-03-31","IntangibleAssets","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"投資有価証券","90660000",NA,"2018-03-31","InvestmentSecurities","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"投資有価証券","85224000",NA,"2019-03-31","InvestmentSecurities","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"出資金","55350000",NA,"2018-03-31","InvestmentsInCapital","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"出資金","55350000",NA,"2019-03-31","InvestmentsInCapital","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"長期差入保証金","400024000",NA,"2018-03-31","LongTermGuaranteeDepositsIOACMD","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"長期差入保証金","400051000",NA,"2019-03-31","LongTermGuaranteeDepositsIOACMD","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"従業員に対する長期貸付金",NA,NA,"2018-03-31","LongTermLoansReceivableFromEmployees","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"従業員に対する長期貸付金","1930000",NA,"2019-03-31","LongTermLoansReceivableFromEmployees","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"固定化営業債権","597863000",NA,"2018-03-31","BadDebts","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"固定化営業債権","585950000",NA,"2019-03-31","BadDebts","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"破産更生債権等","469282000",NA,"2018-03-31","ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOther","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"破産更生債権等","229282000",NA,"2019-03-31","ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOther","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"長期前払費用","0",NA,"2018-03-31","LongTermPrepaidExpenses","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"長期前払費用","0",NA,"2019-03-31","LongTermPrepaidExpenses","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"敷金及び保証金","650562000",NA,"2018-03-31","LeaseAndGuaranteeDeposits","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"敷金及び保証金","640000000",NA,"2019-03-31","LeaseAndGuaranteeDeposits","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"その他","4973000",NA,"2018-03-31","OtherIOA","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"その他","4005000",NA,"2019-03-31","OtherIOA","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"貸倒引当金","-592554000",NA,"2018-03-31","AllowanceForDoubtfulAccountsIOAByGroup","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"貸倒引当金","-581243000",NA,"2019-03-31","AllowanceForDoubtfulAccountsIOAByGroup","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"投資その他の資産","1676162000",NA,"2018-03-31","InvestmentsAndOtherAssets","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"投資その他の資産","1420551000",NA,"2019-03-31","InvestmentsAndOtherAssets","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"固定資産","2149033000",NA,"2018-03-31","NoncurrentAssets","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"固定資産","1871422000",NA,"2019-03-31","NoncurrentAssets","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"資産","23482614000",NA,"2018-03-31","Assets","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"資産","18436805000",NA,"2019-03-31","Assets","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"買掛金","92606000",NA,"2018-03-31","AccountsPayableTrade","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"買掛金","14844000",NA,"2019-03-31","AccountsPayableTrade","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"リース債務","7714000",NA,"2018-03-31","LeaseObligationsCL","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"リース債務","4042000",NA,"2019-03-31","LeaseObligationsCL","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"未払金","363742000",NA,"2018-03-31","AccountsPayableOther","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"未払金","78523000",NA,"2019-03-31","AccountsPayableOther","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"未払費用","31280000",NA,"2018-03-31","AccruedExpenses","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"未払費用","31373000",NA,"2019-03-31","AccruedExpenses","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"未払法人税等","42342000",NA,"2018-03-31","IncomeTaxesPayable","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"未払法人税等","43462000",NA,"2019-03-31","IncomeTaxesPayable","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"預り金","11580000",NA,"2018-03-31","DepositsReceived","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
