"elementId","labelString"
"jppfs_cor_OtherPPE","その他"
"jppfs_cor_AccumulatedDepreciationOtherPPE","減価償却累計額"
"jppfs_cor_AccumulatedImpairmentLossOtherPPE","減損損失累計額"
"jppfs_cor_AccumulatedDepreciationAndImpairmentLossOtherPPE","減価償却累計額及び減損損失累計額"
"jppfs_cor_OtherNetPPE","その他（純額）"
"jppfs_cor_AccumulatedDepreciationPPEByGroup","減価償却累計額"
"jppfs_cor_AccumulatedImpairmentLossPPEByGroup","減損損失累計額"
"jppfs_cor_AccumulatedDepreciationAndImpairmentLossPPEByGroup","減価償却累計額及び減損損失累計額"
"jppfs_cor_PropertyPlantAndEquipment","有形固定資産"
"jppfs_cor_IntangibleAssetsAbstract","無形固定資産"
"jppfs_cor_PatentRight","特許権"
"jppfs_cor_LeaseholdRight","借地権"
"jppfs_cor_RightOfTrademark","商標権"
"jppfs_cor_UtilityModelRight","実用新案権"
"jppfs_cor_DesignRight","意匠権"
"jppfs_cor_MiningRight","鉱業権"
"jppfs_cor_FisheryRight","漁業権"
"jppfs_cor_Software","ソフトウエア"
"jppfs_cor_SoftwareInProgress","ソフトウエア仮勘定"
"jppfs_cor_WaterRight","水利権"
"jppfs_cor_CopyrightPublishing","版権"
"jppfs_cor_Copyright","著作権"
"jppfs_cor_OtherIA","その他"
"jppfs_cor_IntangibleAssets","無形固定資産"
"jppfs_cor_InvestmentsAndOtherAssetsAbstract","投資その他の資産"
"jppfs_cor_InvestmentSecurities","投資有価証券"
"jppfs_cor_StocksOfSubsidiariesAndAffiliates","関係会社株式"
"jppfs_cor_BondsOfSubsidiariesAndAffiliates","関係会社社債"
"jppfs_cor_InvestmentsInOtherSecuritiesOfSubsidiariesAndAffiliates","その他の関係会社有価証券"
"jppfs_cor_InvestmentsInCapital","出資金"
"jppfs_cor_InvestmentsInCapitalOfSubsidiariesAndAffiliates","関係会社出資金"
"jppfs_cor_LongTermLoansReceivable","長期貸付金"
"jppfs_cor_AllowanceForDoubtfulAccountsLongTermLoansReceivable","貸倒引当金"
"jppfs_cor_LongTermLoansReceivableNet","長期貸付金（純額）"
"jppfs_cor_LongTermLoansReceivableFromShareholdersDirectorsOrEmployees","株主、役員又は従業員に対する長期貸付金"
"jppfs_cor_AllowanceForDoubtfulAccountsLongTermLoansReceivableFromShareholdersDirectorsOrEmployees","貸倒引当金"
"jppfs_cor_LongTermLoansReceivableFromShareholdersDirectorsOrEmployeesNet","株主、役員又は従業員に対する長期貸付金（純額）"
"jppfs_cor_LongTermLoansReceivableFromSubsidiariesAndAffiliates","関係会社長期貸付金"
"jppfs_cor_AllowanceForDoubtfulAccountsLongTermLoansReceivableFromSubsidiariesAndAffiliates","貸倒引当金"
"jppfs_cor_LongTermLoansReceivableFromSubsidiariesAndAffiliatesNet","関係会社長期貸付金（純額）"
"jppfs_cor_ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOther","破産更生債権等"
"jppfs_cor_AllowanceForDoubtfulAccountsClaimsInBankruptcyReorganizationClaimsAndOther","貸倒引当金"
"jppfs_cor_ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOtherNet","破産更生債権等（純額）"
"jppfs_cor_LongTermPrepaidExpenses","長期前払費用"
"jppfs_cor_LongTermPrepaidConsumptionTaxes","長期前払消費税等"
"jppfs_cor_DeferredTaxAssetsIOA","繰延税金資産"
"jppfs_cor_DeferredTaxAssetsForLandRevaluation","再評価に係る繰延税金資産"
"jppfs_cor_RealEstateForInvestment","投資不動産"
"jppfs_cor_AccumulatedDepreciationRealEstateForInvestment","減価償却累計額"
"jppfs_cor_AccumulatedImpairmentLossRealEstateForInvestment","減損損失累計額"
"jppfs_cor_AccumulatedDepreciationAndImpairmentLossRealEstateForInvestment","減価償却累計額及び減損損失累計額"
"jppfs_cor_RealEstateForInvestmentNet","投資不動産（純額）"
"jppfs_cor_BeneficiaryRightOfRealEstateInTrust","不動産信託受益権"
"jppfs_cor_LandInTrust","信託土地"
"jppfs_cor_BuildingsInTrust","信託建物"
"jppfs_cor_OtherIOA","その他"
"jppfs_cor_AllowanceForDoubtfulAccountsIOAByGroup","貸倒引当金"
"jppfs_cor_AllowanceForInvestmentLoss","投資損失引当金"
"jppfs_cor_AccumulatedDepreciationIOAByGroup","減価償却累計額"
"jppfs_cor_AccumulatedImpairmentLossIOAByGroup","減損損失累計額"
"jppfs_cor_AccumulatedDepreciationAndImpairmentLossIOAByGroup","減価償却累計額及び減損損失累計額"
"jppfs_cor_InvestmentsAndOtherAssets","投資その他の資産"
"jppfs_cor_NoncurrentAssets","固定資産"
"jppfs_cor_DeferredAssetsAbstract","繰延資産"
