"docID","edinetCode","filerName","secCode","periodEnd"
"S100GCV7","E05145","セントラルスポーツ","48010","2019-03-31"
"S100G8UM","E01362","駒井ハルテック","59150","2019-03-31"
"S100GA2X","E02727","シャルレ","98850","2019-03-31"
"S100G9KC","E02655","サンリオ","81360","2019-03-31"
"S100G9BD","E32795","キャリアインデックス","65380","2019-03-31"
"S100GCUW","E01670","レオン自動機","62720","2019-03-31"
"S100GC73","E00063","飛島建設","18050","2019-03-31"
"S100GCI9","E02610","クワザワ","81040","2019-03-31"
"S100G86Z","E02114","ミマキエンジニアリング","66380","2019-03-31"
"S100G8J3","E02025","高見沢サイバネティックス","64240","2019-03-31"
"S100G7K6","E02419","三共","64170","2019-03-31"
"S100GCOJ","E32168","富士ソフトサービスビューロ","61880","2019-03-31"
"S100G5L9","E01296","サンユウ","56970","2019-03-31"
"S100GCQ8","E03267","Ｇ‐７ホールディングス","75080","2019-03-31"
"S100GBDP","E03576","京都銀行","83690","2019-03-31"
"S100GBJ4","E02073","ダイコク電機","64300","2019-03-31"
"S100G9N0","E00372","中村屋","22040","2019-03-31"
"S100GBMX","E03519","マツモトキヨシホールディングス","30880","2019-03-31"
"S100GCPE","E04976","フォーカスシステムズ","46620","2019-03-31"
"S100G8IS","E34938","日本グランデ","29760","2019-03-31"
"S100G0K4","E00060","西松建設","18200","2019-03-31"
"S100G7NA","E04585","東映","96050","2019-03-31"
"S100GBS7","E02787","タカチホ","82250","2019-03-31"
"S100G93G","E04331","三愛石油","80970","2019-03-31"
"S100GCTM","E02447","ナンシン","73990","2019-03-31"
"S100GCTW","E32189","イワキ","62370","2019-03-31"
"S100G90T","E03299","ヤマノホールディングス","75710","2019-03-31"
"S100GBYG","E00765","石原産業","40280","2019-03-31"
"S100GCQK","E01954","サンコー","69640","2019-03-31"
"S100GCKH","E01887","新電元工業","68440","2019-03-31"
"S100GAT0","E03207","バローホールディングス","99560","2019-03-31"
"S100GCMV","E33815","日総工産","65690","2019-03-31"
"S100GCGT","E03148","愛眼","98540","2019-03-31"
"S100G8OI","E04346","トレーディア","93650","2019-03-31"
"S100GCBT","E34031","ＳＩＧ","43860","2019-03-31"
"S100G3NU","E01531","島精機製作所","62220","2019-03-31"
"S100GBGW","E01855","北海電気工事","18320","2019-03-31"
"S100GAWE","E01849","アイホン","67180","2019-03-31"
"S100GCSU","E01830","ユニデンホールディングス","68150","2019-03-31"
"S100G540","E03494","ヒラキ","30590","2019-03-31"
"S100GC20","E03969","リゾートトラスト","46810","2019-03-31"
"S100GBX9","E04191","ニッコンホールディングス","90720","2019-03-31"
"S100FPEJ","E04222","第一交通産業","90350","2019-03-31"
"S100GB57","E04478","スペースシャワーネットワーク","48380","2019-03-31"
"S100GCUZ","E01366","中国工業","59740","2019-03-31"
"S100G8JL","E02258","新家工業","73050","2019-03-31"
"S100GCXU","E32801","ＭＳ－Ｊａｐａｎ","65390","2019-03-31"
"S100GBY9","E00469","永谷園ホールディングス","28990","2019-03-31"
"S100GCPF","E04136","秩父鉄道","90120","2019-03-31"
"S100GAH1","E01897","電気興業","67060","2019-03-31"
"S100GCXZ","E04768","ジャックス","85840","2019-03-31"
"S100G2EE","E01376","東洋刄物","59640","2019-03-31"
"S100G93A","E03166","マキヤ","98900","2019-03-31"
"S100GBOZ","E04509","沖縄電力","95110","2019-03-31"
"S100GCYY","E05573","イメージ情報開発","38030","2019-03-31"
"S100GCW6","E31321","ゼネラル・オイスター","32240","2019-03-31"
"S100G7UB","E04410","日本テレビホールディングス","94040","2019-03-31"
"S100GCYB","E01891","大黒屋ホールディングス","69930","2019-03-31"
"S100GCXY","E05029","アルファシステムズ","47190","2019-03-31"
"S100GC8L","E03251","セフテック","74640","2019-03-31"
"S100GB0T","E34722","共栄セキュリティーサービス","70580","2019-03-31"
"S100GBYL","E01075","シナネンホールディングス","81320","2019-03-31"
"S100G6SE","E01759","日東工業","66510","2019-03-31"
"S100GCK6","E01772","パナソニック","67520","2019-03-31"
"S100GCZG","E03907","住友不動産","88300","2019-03-31"
"S100GCH8","E04978","アール・エス・シー","46640","2019-03-31"
"S100GBTE","E03588","百十四銀行","83860","2019-03-31"
"S100G9B3","E34094","ＺＵＵ","43870","2019-03-31"
"S100GBBE","E32647","シンクロ・フード","39630","2019-03-31"
"S100G44T","E05209","フェイス","42950","2019-03-31"
"S100GCZI","E00027","中外鉱業","14910","2019-03-31"
"S100G9HR","E05410","博報堂ＤＹホールディングス","24330","2019-03-31"
"S100GCXN","E03770","澤田ホールディングス","86990","2019-03-31"
"S100G8TF","E03421","ナフコ","27900","2019-03-31"
"S100GACP","E02140","小糸製作所","72760","2019-03-31"
"S100GD0G","E00204","日本基礎技術","19140","2019-03-31"
"S100GC8N","E22440","バイタルケーエスケー・ホールディングス","31510","2019-03-31"
"S100GC9L","E05425","エムスリー","24130","2019-03-31"
"S100G5NB","E34486","田中建設工業","14500","2019-03-31"
"S100GCS2","E01211","ヤマウ","52840","2019-03-31"
"S100GBJ3","E02096","アビックス","78360","2019-03-31"
"S100GBVO","E04826","トーカイ","97290","2019-03-31"
"S100GCAB","E01050","田中化学研究所","40800","2019-03-31"
"S100GCWW","E32153","フェニックスバイオ","61900","2019-03-31"
"S100G33L","E00867","ヤマト・インダストリー","78860","2019-03-31"
"S100GBWM","E04198","セイノーホールディングス","90760","2019-03-31"
"S100GD2V","E00917","大伸化学","46290","2019-03-31"
"S100G3Z9","E03611","三井住友トラスト・ホールディングス","83090","2019-03-31"
"S100G30L","E01337","東京特殊電線","58070","2019-03-31"
"S100G9DE","E05306","ＪＰホールディングス","27490","2019-03-31"
"S100GD35","E02899","Ｎｕｔｓ","76120","2019-03-31"
"S100FZ7I","E01758","デンヨー","65170","2019-03-31"
"S100GCZQ","E01824","太陽誘電","69760","2019-03-31"
"S100GC2H","E03589","伊予銀行","83850","2019-03-31"
"S100GC28","E00652","野崎印刷紙業","79190","2019-03-31"
"S100G5QD","E00563","東海染工","35770","2019-03-31"
"S100GAD3","E05496","アドバンスト・メディア","37730","2019-03-31"
"S100G98E","E01632","三精テクノロジーズ","63570","2019-03-31"
"S100FZSD","E02175","大同メタル工業","72450","2019-03-31"
"S100GBTJ","E00506","なとり","29220","2019-03-31"
"S100GCYI","E00776","信越化学工業","40630","2019-03-31"
"S100GCBM","E03678","トマト銀行","85420","2019-03-31"
"S100GBNH","E01354","ホッカンホールディングス","59020","2019-03-31"
"S100G2WM","E00064","松井建設","18100","2019-03-31"
"S100GBFT","E03971","ゴールドクレスト","88710","2019-03-31"
"S100G0GU","E03508","ＪＦＬＡホールディングス","30690","2019-03-31"
